Progress,Duration (in seconds),Finished,TA_ID,S1,S2,S3,S4,S5,S6,S7,Eng,I1,I2,I3,I4,I5,I6,I7,inst,C1,C2,C3,C4,C5,course,St_Year,St_Gender,Gender_3_TEXT,St_Race,Race_9_TEXT,Race_7_TEXT,Int'l,first_gen
100,228,1,81,5,4,4,5,5,4,5,4.571428571,5,5,5,6,,5,5,5.166666667,5,6,5,5,5,5.2,1,0,,2,,,0,2
100,165,1,6,5,4,4,5,5,5,4,4.571428571,6,5,5,5,5,6,5,5.285714286,5,5,5,5,6,5.2,3,0,,2,,,0,2
100,315,1,56,5,4,5,6,5,5,6,5.142857143,5,5,6,5,5,5,6,5.285714286,5,5,5,5,6,5.2,1,0,,2,,,0,2
100,238,1,53,6,6,5,5,5,5,5,5.285714286,5,5,6,6,5,5,5,5.285714286,5,5,5,5,6,5.2,1,0,,2,,,0,2
100,642,1,85,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,5.428571429,6,5,5,5,5,5.2,1,0,,2,,,0,2
100,293,1,5,3,5,6,6,6,5,6,5.285714286,6,4,5,5,6,6,6,5.428571429,6,5,5,5,5,5.2,1,0,,2,,,0,1
100,382,1,5,5,5,5,5,5,5,5,5,6,6,6,6,4,5,5,5.428571429,6,6,5,5,4,5.2,1,0,,2,,,0,2
100,262,1,53,6,6,6,6,5,5,5,5.571428571,6,5,5,5,5,6,6,5.428571429,5,6,5,5,5,5.2,1,0,,2,,,0,2
100,24455,1,59,5,4,6,6,6,6,6,5.571428571,6,6,6,6,4,5,6,5.571428571,5,5,5,5,6,5.2,1,0,,2,,,1,1
100,326,1,42,5,5,6,6,6,6,6,5.714285714,6,6,6,6,5,5,6,5.714285714,5,6,5,5,5,5.2,2,0,,2,,,0,2
100,193,1,56,5,5,6,6,6,5,4,5.285714286,6,5,6,6,6,6,6,5.857142857,6,6,4,4,6,5.2,1,0,,2,,,0,2
100,159,1,69,6,6,5,6,6,6,6,5.857142857,6,6,6,6,,6,6,6,6,6,4,4,6,5.2,1,0,,2,,,0,2
100,200,1,31,5,5,5,5,5,6,6,5.285714286,6,6,6,6,6,6,6,6,6,6,4,6,4,5.2,4,0,,2,,,1,2
100,176,1,10,6,5,5,6,5,5,6,5.428571429,6,6,6,6,6,6,6,6,5,5,5,6,5,5.2,1,0,,2,,,0,2
100,183,1,22,5,5,5,5,5,6,6,5.285714286,6,6,6,6,6,6,6,6,5,5,5,5,6,5.2,1,0,,2,,,0,2
100,236,1,5,5,5,5,6,6,6,6,5.571428571,6,6,6,6,6,6,6,6,5,5,5,5,6,5.2,1,0,,2,,,0,2
100,421,1,53,5,6,6,5,5,6,6,5.571428571,6,6,6,6,6,6,6,6,6,6,4,5,5,5.2,1,0,,2,,,0,2
100,244,1,83,5,4,5,6,5,6,6,5.285714286,6,6,6,6,6,6,6,6,6,4,5,6,5,5.2,1,0,,2,,,0,2
100,277,1,55,2,3,5,5,5,6,5,4.428571429,4,4,4,4,3,4,4,3.857142857,4,6,6,6,3,5,1,0,,2,,,0,2
100,215,1,50,5,5,6,6,5,3,4,4.857142857,4,3,5,4,4,5,6,4.428571429,5,4,6,5,5,5,1,0,,2,,,0,2
100,200,1,57,2,5,4,5,,5,5,4.333333333,5,4,4,5,5,4,5,4.571428571,5,5,5,5,5,5,1,0,,2,,,0,1
100,393,1,47,5,5,5,6,5,4,5,5,5,5,5,5,4,4,5,4.714285714,5,5,4,5,6,5,1,0,,2,,,0,1
100,365,1,32,5,5,5,6,6,6,6,5.571428571,5,5,5,5,4,5,5,4.857142857,5,6,4,5,5,5,2,0,,2,,,0,1
100,457,1,30,6,5,4,5,5,6,6,5.285714286,6,4,5,4,5,5,5,4.857142857,5,5,5,5,5,5,2,0,,2,,,0,2
100,305,1,42,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,246,1,21,5,5,5,5,,4,4,4.666666667,5,5,5,5,,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,289,1,21,4,5,5,5,5,5,5,4.857142857,5,5,5,5,,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,272,1,82,4,5,5,5,5,5,5,4.857142857,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,255,1,80,5,5,5,6,4,5,6,5.142857143,5,5,5,4,,5,6,5,5,5,5,5,5,5,4,0,,2,,,0,2
100,214,1,80,4,5,5,5,5,5,5,4.857142857,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,,2,,,0,2
100,193,1,67,5,3,4,5,5,4,5,4.428571429,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,,2,,,0,2
100,165,1,43,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,1
100,235,1,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,601,1,31,5,5,5,5,4,4,6,4.857142857,5,4,6,5,5,5,5,5,4,6,4,,6,5,1,0,,2,,,0,2
100,303,1,10,5,4,4,6,4,4,5,4.571428571,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,,2,,,0,2
100,178,1,22,5,3,5,5,5,5,5,4.714285714,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,233,1,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,175,1,37,5,5,5,5,4,5,5,4.857142857,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,272,1,37,4,5,5,5,5,5,5,4.857142857,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,,2,,,0,2
100,221,1,85,5,5,5,5,4,4,4,4.571428571,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,453,1,19,5,4,5,5,5,5,5,4.857142857,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,,2,,,0,2
100,298,1,53,4,5,5,4,5,5,5,4.714285714,6,5,4,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,200,1,12,5,4,4,5,5,5,5,4.714285714,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,,2,,,0,2
100,280,1,44,3,4,5,4,3,4,4,3.857142857,6,5,4,5,5,5,6,5.142857143,5,5,5,5,5,5,1,0,,2,,,0,2
